year,gender,education,feeling_blacks,feeling_jews,feeling_whites,feeling_police,race,voted,ownhome,pid
1948,1,1,NA,NA,NA,NA,2,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,2,0,NA,NA
1948,1,2,NA,NA,NA,NA,2,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,9,1,NA,NA
1948,1,2,NA,NA,NA,NA,2,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,9,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,2,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,2,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,3,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,3,NA,NA,NA,NA,2,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,3,NA,NA,NA,NA,1,0,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,0,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,2,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,2,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,2,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,2,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,9,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,2,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,2,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,2,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,9,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,2,0,NA,NA
1948,0,1,NA,NA,NA,NA,2,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,2,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,2,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,2,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,9,1,NA,NA
1948,0,2,NA,NA,NA,NA,2,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,2,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,2,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,9,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,2,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,2,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,2,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,2,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,2,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,9,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,9,1,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,2,0,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,2,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,2,0,NA,NA
1948,0,1,NA,NA,NA,NA,2,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,0,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,3,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,3,NA,NA,NA,NA,1,0,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,2,0,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,2,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,3,NA,NA,NA,NA,1,0,NA,NA
1948,1,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,2,0,NA,NA
1948,1,1,NA,NA,NA,NA,2,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,2,1,NA,NA
1948,0,1,NA,NA,NA,NA,2,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,3,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,2,1,NA,NA
1948,0,2,NA,NA,NA,NA,2,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,1,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,2,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,1,NA,NA
1948,1,1,NA,NA,NA,NA,1,0,NA,NA
1948,0,1,NA,NA,NA,NA,1,0,NA,NA
